,IMDB,Metascore,Name,Votes,Year
205,6.3,54.0,Black and Blue,10281,2019
206,5.7,37.0,Point Blank,10190,2019
207,8.0,86.0,Honeyland,9822,2019
208,7.6,82.0,Sorry We Missed You,9731,2019
209,6.2,48.0,Noelle,9703,2019
210,7.6,78.0,Les Misérables,9668,2019
211,4.2,35.0,The Last Thing He Wanted,9581,2020
212,6.3,59.0,Little Monsters,9540,2019
213,7.6,72.0,Tenki no ko,9538,2019
214,5.7,50.0,Paradise Hills,9503,2019
215,6.9,80.0,Knock Down the House,9382,2019
216,6.8,56.0,Escape from Pretoria,9304,2020
217,6.7,65.0,I See You,9279,2019
218,7.1,78.0,Monos,9204,2019
219,7.2,70.0,Paddleton,9154,2019
220,5.6,50.0,3 from Hell,9150,2019
221,5.4,49.0,Little,9059,2019
222,5.8,34.0,A Fall from Grace,8780,2020
223,6.5,63.0,Avengement,8631,2019
224,7.2,59.0,The Banker,8616,2020
225,5.8,45.0,Wonder Park,8542,2019
226,7.6,69.0,Tell Me Who I Am,8448,2019
227,7.7,78.0,Diego Maradona,8357,2019
228,5.5,60.0,Triple Threat,8255,2019
229,5.1,35.0,Coffee & Kareem,8161,2020
230,6.0,38.0,Otherhood,8126,2019
231,6.9,77.0,The Mustang,7977,2019
232,5.1,74.0,See You Yesterday,7754,2019
233,6.6,67.0,Light of My Life,7685,2019
234,4.9,24.0,Playing with Fire,7463,2019
235,3.2,49.0,Black Christmas,7414,2019
236,7.2,56.0,J'accuse,7253,2019
237,7.1,49.0,The Best of Enemies,7107,2019
238,6.2,64.0,The Lodge,7086,2019
239,7.2,79.0,Bad Education,7060,2019
240,6.1,46.0,Breakthrough,7058,2019
241,6.5,47.0,Angel of Mine,6980,2019
242,5.7,41.0,Miss Bala,6965,2019
243,6.7,38.0,Der goldene Handschuh,6959,2019
244,6.5,91.0,The Souvenir,6921,2019
245,7.1,66.0,The Inventor: Out for Blood in Silicon Valley,6847,2019
246,6.7,72.0,Luce,6765,2019
247,6.2,78.0,High Flying Bird,6758,2019
248,5.3,22.0,Killers Anonymous,6748,2019
249,5.3,35.0,Can You Keep a Secret?,6686,2019
250,6.0,64.0,Come to Daddy,6491,2019
251,7.7,77.0,Boze Cialo,6480,2019
252,6.9,79.0,A Shaun the Sheep Movie: Farmageddon,6441,2019
253,6.1,51.0,Trolls World Tour,6355,2020
254,4.4,21.0,Sextuplets,6347,2019
255,4.6,65.0,Girl on the Third Floor,6081,2019
256,4.3,18.0,The Fanatic,5995,2019
257,8.5,89.0,For Sama,5930,2019
258,6.8,85.0,Atlantique,5907,2019
259,7.9,68.0,And Then We Danced,5778,2019
260,5.9,51.0,The Kid,5737,2019
261,5.6,40.0,Cuck,5736,2019
262,5.2,45.0,The Rhythm Section,5722,2020
263,6.2,42.0,My Spy,5676,2020
264,6.6,65.0,Plus One,5622,2019
265,6.9,59.0,Troop Zero,5619,2019
266,7.9,90.0,Systemsprenger,5589,2019
267,6.3,65.0,Swallow,5561,2019
268,7.1,64.0,Il traditore,5517,2019
269,3.8,35.0,The Turning,5430,2020
270,7.2,67.0,Dronningen,5418,2019
271,7.5,55.0,The Sky Is Pink,5319,2019
272,4.4,33.0,Like a Boss,5276,2020
273,4.5,29.0,Brahms: The Boy II,5247,2020
274,6.9,65.0,Akinjeon,5237,2019
275,6.2,63.0,Villains,5177,2019
276,7.4,75.0,La Belle Époque,5127,2019
277,5.6,34.0,American Son,5048,2019
278,6.5,67.0,The Willoughbys,5032,2020
279,4.6,30.0,The Poison Rose,4859,2019
280,5.4,42.0,Running with the Devil,4820,2019
281,5.8,52.0,The Sun Is Also a Star,4666,2019
282,4.9,39.0,Uglydolls,4657,2019
283,7.1,84.0,Dylda,4604,2019
284,5.3,36.0,Daughter of the Wolf,4519,2019
285,7.7,86.0,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,4449,2019
286,7.3,76.0,Hail Satan?,4438,2019
287,5.6,31.0,The Last Laugh,4434,2019
288,6.2,53.0,Sergio,4355,2020
289,6.7,68.0,"Bikram: Yogi, Guru, Predator",4325,2019
290,6.4,72.0,Extra Ordinary,4067,2019
291,7.5,54.0,Ne Zha zhi mo tong jiang shi,4022,2019
292,5.0,15.0,The Courier,4011,2019
293,6.5,84.0,Synonymes,3920,2019
294,6.8,65.0,Mine 9,3857,2019
295,6.2,50.0,After the Wedding,3816,2019
296,6.8,65.0,Le daim,3786,2019
297,4.8,49.0,Downhill,3711,2020
298,7.0,55.0,Mientras dure la guerra,3641,2019
299,7.9,81.0,A Vida Invisível,3630,2019
300,6.1,49.0,Don't Let Go,3525,2019
301,6.0,61.0,Daniel Isn't Real,3470,2019
302,4.4,40.0,Domino,3427,2019
303,6.6,52.0,The Last Full Measure,3411,2019
304,7.5,85.0,Born in China,3385,2019
305,4.4,39.0,A Madea Family Funeral,3379,2019
306,4.8,32.0,Primal,3302,2019
307,5.8,36.0,Poms,3295,2019
308,6.2,56.0,Finding Steve McQueen,3279,2019
309,4.7,36.0,Lucy in the Sky,3252,2019
310,5.6,42.0,Killerman,3238,2019
311,6.4,41.0,I Still Believe,3222,2020
312,6.8,65.0,Photograph,3221,2019
313,5.9,60.0,Little Joe,3218,2019
314,5.3,50.0,Lying and Stealing,3153,2019
315,6.6,75.0,The Personal History of David Copperfield,3137,2019
316,6.3,51.0,Human Capital,3127,2019
317,6.9,77.0,Hatsukoi,3113,2019
318,6.4,72.0,Blow the Man Down,3104,2019
319,6.1,75.0,True History of the Kelly Gang,3062,2019
320,6.3,69.0,The Death of Dick Long,3049,2019
321,5.6,51.0,Satanic Panic,3037,2019
322,4.6,25.0,Cold Blood Legacy,3032,2019
323,5.7,55.0,Nancy Drew and the Hidden Staircase,3012,2019
324,6.5,17.0,Overcomer,3012,2019
325,4.6,37.0,A Score to Settle,2975,2019
326,6.8,64.0,Mr. Jones,2971,2019
327,6.3,57.0,La paranza dei bambini,2944,2019
328,2.8,8.0,The Haunting of Sharon Tate,2944,2019
329,5.6,47.0,The Operative,2942,2019
